k,arm,selection_share,method,median_m,effect_pct,draw_min_m,draw_max_m,draws,range_status,source_file,source_line
13,bottom,0.114,ABS,681.0,6.2,678.0,688.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,176
13,bottom,0.114,DIFF,980.0,1.7,972.0,1010.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,176
13,bottom,0.114,Min-Max,494.0,6.0,488.0,504.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,176
13,random,0.439,WCL,872.0,45.9,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,178
13,random,0.439,ABS,795.0,24.1,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,178
13,random,0.439,DIFF,1087.0,12.8,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,178
13,random,0.439,Min-Max,696.0,49.3,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,178
14,top,0.839,WCL,2666.0,346.1,1900.0,3695.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,179
14,top,0.839,ABS,1361.0,112.3,1286.0,1559.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,179
14,top,0.839,DIFF,1665.0,72.7,1560.0,2030.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,179
14,top,0.839,Min-Max,1885.0,304.6,1207.0,3039.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,179
14,bottom,0.137,WCL,650.0,8.7,645.0,654.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,181
14,bottom,0.137,ABS,678.0,5.8,669.0,684.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,181
14,bottom,0.137,DIFF,985.0,2.2,953.0,1008.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,181
14,bottom,0.137,Min-Max,503.0,8.0,495.0,509.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,181
14,random,0.529,WCL,1090.0,82.4,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,183
14,random,0.529,ABS,894.0,39.5,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,183
14,random,0.529,DIFF,1230.0,27.6,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,183
14,random,0.529,Min-Max,869.0,86.6,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,183
