stage,substrate,exponent,method,condition,reference_m,median_m,min_m,max_m,replicates,effect_pct,min_pct,max_pct,precision
exact7,recovered27_common,4.7,ABS,reference,639.9899678146855,639.9899678146855,639.9899678146855,639.9899678146855,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,recovered27_common,4.7,DIFF,reference,989.6227832833138,989.6227832833138,989.6227832833138,989.6227832833138,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,recovered27_common,4.7,Min-Max,reference,469.8231520356294,469.8231520356294,469.8231520356294,469.8231520356294,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,recovered27_common,4.7,WCL,fraction_f7_D1000,593.2183143536402,612.8880025505204,587.3579112944899,808.9310532057416,8,3.3157587554106343,-0.9878998873350102,36.36312865477495,full precision derived from retained author NPZ
exact7,recovered27_common,4.7,ABS,fraction_f7_D1000,639.9899678146855,705.6795171770781,629.6865396318736,812.3795216315539,8,10.264152981443843,-1.6099358897755947,26.936290018031215,full precision derived from retained author NPZ
exact7,recovered27_common,4.7,DIFF,fraction_f7_D1000,989.6227832833138,1054.701621186702,932.3652626742762,1584.759168312391,8,6.576125671589058,-5.785792483381581,60.13770045335535,full precision derived from retained author NPZ
exact7,recovered27_common,4.7,Min-Max,fraction_f7_D1000,469.8231520356294,504.90101696874586,447.2620236572552,673.0366302024922,8,7.466184835960641,-4.802046957588679,43.25318522222421,full precision derived from retained author NPZ
exact7,recovered27_common,4.7,WCL,fraction_f7_D10000,593.2183143536402,711.0305400024615,598.4417908135731,1437.8986637229473,8,19.85984296138723,0.8805318941685674,142.38945914703515,full precision derived from retained author NPZ
exact7,recovered27_common,4.7,ABS,fraction_f7_D10000,639.9899678146855,760.4585955361307,644.700228873887,923.132131181666,8,18.82351814557316,0.7359898273538801,44.24165652686709,full precision derived from retained author NPZ
exact7,recovered27_common,4.7,DIFF,fraction_f7_D10000,989.6227832833138,960.642158016549,826.1586227709336,1262.743032815443,8,-2.9284517046600786,-16.517825102009898,27.598419735849912,full precision derived from retained author NPZ
exact7,recovered27_common,4.7,Min-Max,fraction_f7_D10000,469.8231520356294,746.3069983774417,510.4660356416167,1178.992444402685,8,58.84849334135091,8.650677053672556,150.94387947771358,full precision derived from retained author NPZ
exact7,official27_common,4.7,WCL,reference,550.147955381421,550.147955381421,550.147955381421,550.147955381421,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official27_common,4.7,ABS,reference,560.2566653454028,560.2566653454028,560.2566653454028,560.2566653454028,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official27_common,4.7,DIFF,reference,1104.02759665123,1104.02759665123,1104.02759665123,1104.02759665123,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official27_common,4.7,Min-Max,reference,442.6550881089566,442.6550881089566,442.6550881089566,442.6550881089566,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official27_common,4.7,WCL,fraction_f7_D1000,550.147955381421,592.989231757841,530.4441267031675,659.2592412894418,8,7.787228136968707,-3.581550832919602,19.833080326977367,full precision derived from retained author NPZ
exact7,official27_common,4.7,ABS,fraction_f7_D1000,560.2566653454028,582.7723461686485,527.748521470651,643.5552612739564,8,4.018815342315402,-5.80236628772819,14.867934837901362,full precision derived from retained author NPZ
exact7,official27_common,4.7,DIFF,fraction_f7_D1000,1104.02759665123,1188.1080238601958,989.2993379261252,1615.2685788049143,8,7.615790353791983,-10.391792657457295,46.30690244559068,full precision derived from retained author NPZ
exact7,official27_common,4.7,Min-Max,fraction_f7_D1000,442.6550881089566,468.6598613842125,410.2734616745407,517.5335381882483,8,5.874725937602913,-7.3153177957925895,16.915754972833575,full precision derived from retained author NPZ
