case_id,bin_center,tolerance,accepted_index,proposal_index,k,exact_S,selected_reception_numerator,denominator,receiver_ids,displacement_m,direction_seed,direction_realizations_per_subset,subset_rng_seed,method,reference_m,median_error_m,change_pct,raw_npz,raw_sha256,provenance
bin20_subset5,0.2,0.025,5,69,5,0.17827715355805243,1904,10680,1;20;23;27;37,5000,6705,1,6606,WCL,597.6726773741443,770.1328188175199,28.85528282823195,raw/bin20_subset5.npz,028ca754a469836944a3183e6660ebda830b06ea1d71153d5296b7ac4c42da7c,RC5 same-design reporting recovery; assistant runtime
bin20_subset5,0.2,0.025,5,69,5,0.17827715355805243,1904,10680,1;20;23;27;37,5000,6705,1,6606,ABS,641.0128583782526,639.0552400111014,-0.3053945551270127,raw/bin20_subset5.npz,028ca754a469836944a3183e6660ebda830b06ea1d71153d5296b7ac4c42da7c,RC5 same-design reporting recovery; assistant runtime
bin20_subset5,0.2,0.025,5,69,5,0.17827715355805243,1904,10680,1;20;23;27;37,5000,6705,1,6606,DIFF,963.9527294582572,1018.2926956945527,5.637202383029157,raw/bin20_subset5.npz,028ca754a469836944a3183e6660ebda830b06ea1d71153d5296b7ac4c42da7c,RC5 same-design reporting recovery; assistant runtime
bin20_subset5,0.2,0.025,5,69,5,0.17827715355805243,1904,10680,1;20;23;27;37,5000,6705,1,6606,Min-Max,466.0055266886784,584.9281049169115,25.519563914459965,raw/bin20_subset5.npz,028ca754a469836944a3183e6660ebda830b06ea1d71153d5296b7ac4c42da7c,RC5 same-design reporting recovery; assistant runtime
bin20_subset6,0.2,0.025,6,77,9,0.21179775280898877,2262,10680,5;6;7;15;32;34;35;50;70,5000,6706,1,6606,WCL,597.6726773741443,632.547385686748,5.835084927392806,raw/bin20_subset6.npz,8b0786bec5b3ea38eb3cf67674115776fedcf68f9c97a14edceabb47550b47db,RC5 same-design reporting recovery; assistant runtime
bin20_subset6,0.2,0.025,6,77,9,0.21179775280898877,2262,10680,5;6;7;15;32;34;35;50;70,5000,6706,1,6606,ABS,641.0128583782526,671.5161974724962,4.758615789926002,raw/bin20_subset6.npz,8b0786bec5b3ea38eb3cf67674115776fedcf68f9c97a14edceabb47550b47db,RC5 same-design reporting recovery; assistant runtime
bin20_subset6,0.2,0.025,6,77,9,0.21179775280898877,2262,10680,5;6;7;15;32;34;35;50;70,5000,6706,1,6606,DIFF,963.9527294582572,888.8493317168173,-7.791190941867871,raw/bin20_subset6.npz,8b0786bec5b3ea38eb3cf67674115776fedcf68f9c97a14edceabb47550b47db,RC5 same-design reporting recovery; assistant runtime
bin20_subset6,0.2,0.025,6,77,9,0.21179775280898877,2262,10680,5;6;7;15;32;34;35;50;70,5000,6706,1,6606,Min-Max,466.0055266886784,530.5322028848177,13.846762001869404,raw/bin20_subset6.npz,8b0786bec5b3ea38eb3cf67674115776fedcf68f9c97a14edceabb47550b47db,RC5 same-design reporting recovery; assistant runtime
bin20_subset7,0.2,0.025,7,93,5,0.20711610486891385,2212,10680,1;2;15;32;70,5000,6707,1,6606,WCL,597.6726773741443,635.7124516615663,6.364650037968698,raw/bin20_subset7.npz,d9bebcc688a57a4522033f7698a2179567ba5d43020b23e912c705b3054a1dcc,RC5 same-design reporting recovery; assistant runtime
bin20_subset7,0.2,0.025,7,93,5,0.20711610486891385,2212,10680,1;2;15;32;70,5000,6707,1,6606,ABS,641.0128583782526,684.3473463358976,6.760314928358868,raw/bin20_subset7.npz,d9bebcc688a57a4522033f7698a2179567ba5d43020b23e912c705b3054a1dcc,RC5 same-design reporting recovery; assistant runtime
bin20_subset7,0.2,0.025,7,93,5,0.20711610486891385,2212,10680,1;2;15;32;70,5000,6707,1,6606,DIFF,963.9527294582572,871.8936082401314,-9.550169671687447,raw/bin20_subset7.npz,d9bebcc688a57a4522033f7698a2179567ba5d43020b23e912c705b3054a1dcc,RC5 same-design reporting recovery; assistant runtime
bin20_subset7,0.2,0.025,7,93,5,0.20711610486891385,2212,10680,1;2;15;32;70,5000,6707,1,6606,Min-Max,466.0055266886784,554.6896467293933,19.03070134615841,raw/bin20_subset7.npz,d9bebcc688a57a4522033f7698a2179567ba5d43020b23e912c705b3054a1dcc,RC5 same-design reporting recovery; assistant runtime
bin30_subset0,0.3,0.025,0,14,10,0.3196629213483146,3414,10680,5;7;18;19;23;25;27;32;50;71,5000,6700,1,6606,WCL,597.6726773741443,784.9904034968106,31.34118945266842,raw/bin30_subset0.npz,2e12e2359251f41ec7ae3506b24b2cdf29646325c69d724591e25d20bce5bf61,RC5 same-design reporting recovery; assistant runtime
bin30_subset0,0.3,0.025,0,14,10,0.3196629213483146,3414,10680,5;7;18;19;23;25;27;32;50;71,5000,6700,1,6606,ABS,641.0128583782526,732.9409492321045,14.341068147435873,raw/bin30_subset0.npz,2e12e2359251f41ec7ae3506b24b2cdf29646325c69d724591e25d20bce5bf61,RC5 same-design reporting recovery; assistant runtime
bin30_subset0,0.3,0.025,0,14,10,0.3196629213483146,3414,10680,5;7;18;19;23;25;27;32;50;71,5000,6700,1,6606,DIFF,963.9527294582572,981.7453392708375,1.8457969222805928,raw/bin30_subset0.npz,2e12e2359251f41ec7ae3506b24b2cdf29646325c69d724591e25d20bce5bf61,RC5 same-design reporting recovery; assistant runtime
bin30_subset0,0.3,0.025,0,14,10,0.3196629213483146,3414,10680,5;7;18;19;23;25;27;32;50;71,5000,6700,1,6606,Min-Max,466.0055266886784,669.0115458245356,43.5630067691189,raw/bin30_subset0.npz,2e12e2359251f41ec7ae3506b24b2cdf29646325c69d724591e25d20bce5bf61,RC5 same-design reporting recovery; assistant runtime
bin30_subset1,0.3,0.025,1,27,11,0.29363295880149815,3136,10680,6;11;15;18;20;23;25;32;37;50;70,5000,6701,1,6606,WCL,597.6726773741443,728.4948754785885,21.888602751460432,raw/bin30_subset1.npz,c766be16eec41b96ba566fcac6426a911790ba81e44c584cff709ccc61c85957,RC5 same-design reporting recovery; assistant runtime
bin30_subset1,0.3,0.025,1,27,11,0.29363295880149815,3136,10680,6;11;15;18;20;23;25;32;37;50;70,5000,6701,1,6606,ABS,641.0128583782526,773.180831328784,20.61861493463848,raw/bin30_subset1.npz,c766be16eec41b96ba566fcac6426a911790ba81e44c584cff709ccc61c85957,RC5 same-design reporting recovery; assistant runtime
bin30_subset1,0.3,0.025,1,27,11,0.29363295880149815,3136,10680,6;11;15;18;20;23;25;32;37;50;70,5000,6701,1,6606,DIFF,963.9527294582572,1090.8970406578037,13.169142772269486,raw/bin30_subset1.npz,c766be16eec41b96ba566fcac6426a911790ba81e44c584cff709ccc61c85957,RC5 same-design reporting recovery; assistant runtime
bin30_subset1,0.3,0.025,1,27,11,0.29363295880149815,3136,10680,6;11;15;18;20;23;25;32;37;50;70,5000,6701,1,6606,Min-Max,466.0055266886784,630.1195483500826,35.21718354448678,raw/bin30_subset1.npz,c766be16eec41b96ba566fcac6426a911790ba81e44c584cff709ccc61c85957,RC5 same-design reporting recovery; assistant runtime
bin30_subset2,0.3,0.025,2,36,9,0.3218164794007491,3437,10680,2;4;9;11;15;20;23;25;70,5000,6702,1,6606,WCL,597.6726773741443,663.5708438288091,11.025795380874065,raw/bin30_subset2.npz,97b48ac7746d19d83d5171370a03050e9adfa8c3af35f4b325e6f9bd4cdd0b48,RC5 same-design reporting recovery; assistant runtime
bin30_subset2,0.3,0.025,2,36,9,0.3218164794007491,3437,10680,2;4;9;11;15;20;23;25;70,5000,6702,1,6606,ABS,641.0128583782526,706.8437678462545,10.26982666690221,raw/bin30_subset2.npz,97b48ac7746d19d83d5171370a03050e9adfa8c3af35f4b325e6f9bd4cdd0b48,RC5 same-design reporting recovery; assistant runtime
bin30_subset2,0.3,0.025,2,36,9,0.3218164794007491,3437,10680,2;4;9;11;15;20;23;25;70,5000,6702,1,6606,DIFF,963.9527294582572,940.7358293857405,-2.408510227007145,raw/bin30_subset2.npz,97b48ac7746d19d83d5171370a03050e9adfa8c3af35f4b325e6f9bd4cdd0b48,RC5 same-design reporting recovery; assistant runtime
bin30_subset2,0.3,0.025,2,36,9,0.3218164794007491,3437,10680,2;4;9;11;15;20;23;25;70,5000,6702,1,6606,Min-Max,466.0055266886784,608.6103470698332,30.601529856195025,raw/bin30_subset2.npz,97b48ac7746d19d83d5171370a03050e9adfa8c3af35f4b325e6f9bd4cdd0b48,RC5 same-design reporting recovery; assistant runtime
bin30_subset3,0.3,0.025,3,38,10,0.3201310861423221,3419,10680,1;5;9;10;15;17;18;25;35;37,5000,6703,1,6606,WCL,597.6726773741443,887.9867183075273,48.574086104934295,raw/bin30_subset3.npz,463fafb880b4bb92afd97fff7799661cc3aac591a81527660b9d3f811b7adfee,RC5 same-design reporting recovery; assistant runtime
bin30_subset3,0.3,0.025,3,38,10,0.3201310861423221,3419,10680,1;5;9;10;15;17;18;25;35;37,5000,6703,1,6606,ABS,641.0128583782526,854.6572225965476,33.32918543300522,raw/bin30_subset3.npz,463fafb880b4bb92afd97fff7799661cc3aac591a81527660b9d3f811b7adfee,RC5 same-design reporting recovery; assistant runtime
bin30_subset3,0.3,0.025,3,38,10,0.3201310861423221,3419,10680,1;5;9;10;15;17;18;25;35;37,5000,6703,1,6606,DIFF,963.9527294582572,1026.275623152514,6.465347499901001,raw/bin30_subset3.npz,463fafb880b4bb92afd97fff7799661cc3aac591a81527660b9d3f811b7adfee,RC5 same-design reporting recovery; assistant runtime
