population=2498 receivers=29 max_gws=10 tau=3.0
conditions=483 total_condition_message_hits_lt2=19695
max_condition_lt2_pct=11.128903
verdict=OPEN: fallback invoked; regenerate affected DIFF outputs

condition,max_gws,messages,zero,one,lt2,lt2_pct,min,median,max
E1_D5000_f1_draw6,10,2498,13,12,25,1.000801,0,5.0,44
E1_D5000_f1_draw7,10,2498,13,12,25,1.000801,0,5.0,45
E1_D5000_f3_draw0,10,2498,12,13,25,1.000801,0,5.0,44
E1_D5000_f3_draw1,10,2498,13,12,25,1.000801,0,5.0,45
E1_D5000_f3_draw2,10,2498,13,14,27,1.080865,0,5.0,44
E1_D5000_f3_draw3,10,2498,14,12,26,1.040833,0,5.0,44
E1_D5000_f3_draw4,10,2498,13,12,25,1.000801,0,5.0,44
E1_D5000_f3_draw5,10,2498,11,11,22,0.880705,0,5.0,44
E1_D5000_f3_draw6,10,2498,3,0,3,0.120096,0,5.0,44
E1_D5000_f3_draw7,10,2498,13,12,25,1.000801,0,5.0,44
E1_D5000_f7_draw0,10,2498,10,11,21,0.840673,0,5.0,44
E1_D5000_f7_draw1,10,2498,4,2,6,0.240192,0,5.0,44
E1_D5000_f7_draw2,10,2498,2,2,4,0.160128,0,5.0,44
E1_D5000_f7_draw3,10,2498,12,12,24,0.960769,0,5.0,44
E1_D5000_f7_draw4,10,2498,3,5,8,0.320256,0,5.0,45
E1_D5000_f7_draw5,10,2498,4,3,7,0.280224,0,5.0,45
E1_D5000_f7_draw6,10,2498,3,0,3,0.120096,0,5.0,45
E1_D5000_f7_draw7,10,2498,14,12,26,1.040833,0,5.0,44
E1_D5000_f14_draw0,10,2498,8,10,18,0.720576,0,5.0,44
E1_D5000_f14_draw1,10,2498,47,31,78,3.122498,0,5.0,44
E1_D5000_f14_draw2,10,2498,11,13,24,0.960769,0,5.0,43
E1_D5000_f14_draw3,10,2498,3,2,5,0.200160,0,5.0,44
E1_D5000_f14_draw4,10,2498,4,5,9,0.360288,0,5.0,43
E1_D5000_f14_draw5,10,2498,1,5,6,0.240192,0,5.0,44
E1_D5000_f14_draw6,10,2498,3,1,4,0.160128,0,5.0,44
E1_D5000_f14_draw7,10,2498,18,12,30,1.200961,0,5.0,44
E1_D5000_f21_draw0,10,2498,32,30,62,2.481986,0,4.0,42
E1_D5000_f21_draw1,10,2498,7,6,13,0.520416,0,5.0,44
E1_D5000_f21_draw2,10,2498,10,5,15,0.600480,0,5.0,43
E1_D5000_f21_draw3,10,2498,7,12,19,0.760608,0,5.0,45
E1_D5000_f21_draw4,10,2498,7,7,14,0.560448,0,5.0,45
E1_D5000_f21_draw5,10,2498,69,48,117,4.683747,0,4.0,43
E1_D5000_f21_draw6,10,2498,31,30,61,2.441954,0,5.0,44
E1_D5000_f21_draw7,10,2498,16,12,28,1.120897,0,5.0,45
E1_D5000_f29_draw0,10,2498,34,45,79,3.162530,0,4.0,41
E1_D5000_f29_draw1,10,2498,129,105,234,9.367494,0,3.0,41
E1_D5000_f29_draw2,10,2498,97,59,156,6.244996,0,4.0,42
E1_D5000_f29_draw3,10,2498,32,36,68,2.722178,0,4.0,42
E1_D5000_f29_draw4,10,2498,97,73,170,6.805444,0,4.0,43
E1_D5000_f29_draw5,10,2498,76,57,133,5.324259,0,4.0,41
