run,map,n,D_m,window,N,map_n,source,k,arm,S_display,method,median_m,effect_pct,draws,line,min_m,max_m
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,7,bottom,0.053,WCL,592.0,2.7,8,152,587.0,599.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,7,bottom,0.053,ABS,550.0,0.1,8,152,545.0,553.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,7,bottom,0.053,DIFF,1023.0,-2.4,8,152,995.0,1074.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,7,bottom,0.053,Min-Max,499.0,3.8,8,152,496.0,505.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,7,random,0.244,WCL,666.0,15.5,8,154,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,7,random,0.244,ABS,585.0,6.5,8,154,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,7,random,0.244,DIFF,846.0,-19.3,8,154,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,7,random,0.244,Min-Max,564.0,17.3,8,154,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,8,top,0.583,WCL,1264.0,119.1,8,155,1219.0,1371.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,8,top,0.583,ABS,944.0,72.0,8,155,866.0,1017.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,8,top,0.583,DIFF,1227.0,17.1,8,155,1173.0,1320.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,8,top,0.583,Min-Max,1086.0,125.9,8,155,964.0,1344.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,8,bottom,0.07,WCL,591.0,2.5,8,157,588.0,592.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,8,bottom,0.07,ABS,550.0,0.1,8,157,547.0,557.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,8,bottom,0.07,DIFF,986.0,-5.9,8,157,950.0,1040.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,8,bottom,0.07,Min-Max,500.0,4.1,8,157,485.0,512.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,8,random,0.263,WCL,725.0,25.6,8,159,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,8,random,0.263,ABS,657.0,19.7,8,159,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,8,random,0.263,DIFF,989.0,-5.6,8,159,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,8,random,0.263,Min-Max,625.0,30.2,8,159,,
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,1,top,0.098,WCL,585.0,6.3,4,120,580.0,589.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,1,top,0.098,ABS,571.0,2.0,4,120,530.0,619.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,1,top,0.098,DIFF,1056.0,-4.4,4,120,1019.0,1092.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,1,top,0.098,Min-Max,472.0,6.7,4,120,458.0,497.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,1,bottom,0.0,WCL,550.0,0.0,4,122,550.0,550.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,1,bottom,0.0,ABS,560.0,0.0,4,122,560.0,560.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,1,bottom,0.0,DIFF,1104.0,0.0,4,122,1104.0,1105.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,1,bottom,0.0,Min-Max,443.0,0.0,4,122,443.0,443.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,1,random,0.035,WCL,551.0,0.1,8,124,,
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,1,random,0.035,ABS,559.0,-0.3,8,124,,
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,1,random,0.035,DIFF,1104.0,0.0,8,124,,
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,1,random,0.035,Min-Max,443.0,0.0,8,124,,
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,2,top,0.187,WCL,617.0,12.2,4,125,561.0,734.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,2,top,0.187,ABS,617.0,10.2,4,125,546.0,684.0
