map,window,N,k,added,exhausted_n,newly_exhausted_n,C_pct,delta_C_pp,S_pct,top_ids
official27_common.json,5,2498,18,7,2041,129,81.70536429143314,5.164131305044036,94.37318990484071,"14,69,9,27,32,2,10,5,11,18,1,20,4,6,19,12,17,7"
official27_common.json,5,2498,19,25,2134,93,85.42834267413932,3.722978382706165,95.77989242863053,"14,69,9,27,32,2,10,5,11,18,1,20,4,6,19,12,17,7,25"
official27_common.json,5,2498,20,70,2239,105,89.63170536429143,4.2033626901521215,96.93835333057508,"14,69,9,27,32,2,10,5,11,18,1,20,4,6,19,12,17,7,25,70"
official27_common.json,5,2498,21,15,2307,68,92.35388310648518,2.722177742193755,97.92097641704592,"14,69,9,27,32,2,10,5,11,18,1,20,4,6,19,12,17,7,25,70,15"
official27_common.json,5,2498,22,34,2376,69,95.11609287429944,2.762209767814251,98.70707488622259,"14,69,9,27,32,2,10,5,11,18,1,20,4,6,19,12,17,7,25,70,15,34"
official27_common.json,5,2498,23,23,2425,49,97.07766212970377,1.9615692554043236,99.24493173355398,"14,69,9,27,32,2,10,5,11,18,1,20,4,6,19,12,17,7,25,70,15,34,23"
official27_common.json,5,2498,24,37,2473,48,98.99919935948759,1.921537229783827,99.74141497724452,"14,69,9,27,32,2,10,5,11,18,1,20,4,6,19,12,17,7,25,70,15,34,23,37"
official27_common.json,5,2498,25,50,2484,11,99.43955164131305,0.4403522818254604,99.85519238725693,"14,69,9,27,32,2,10,5,11,18,1,20,4,6,19,12,17,7,25,70,15,34,23,37,50"
official27_common.json,5,2498,26,71,2495,11,99.87990392313851,0.4403522818254604,99.96896979726935,"14,69,9,27,32,2,10,5,11,18,1,20,4,6,19,12,17,7,25,70,15,34,23,37,50,71"
official27_common.json,5,2498,27,33,2498,3,100.0,0.12009607686148918,100.0,"14,69,9,27,32,2,10,5,11,18,1,20,4,6,19,12,17,7,25,70,15,34,23,37,50,71,33"
official32_minus71.json,10,2498,1,14,0,0,0.0,0.0,9.432617796383717,14
official32_minus71.json,10,2498,2,69,0,0,0.0,0.0,17.70731272824441,"14,69"
official32_minus71.json,10,2498,3,27,7,7,0.28022417934347477,0.28022417934347477,25.32288233722277,"14,69,27"
official32_minus71.json,10,2498,4,9,21,14,0.8406725380304243,0.5604483586869495,32.16353433686648,"14,69,27,9"
official32_minus71.json,10,2498,5,32,124,103,4.963971176941554,4.1232986389111295,38.90620824797363,"14,69,27,9,32"
official32_minus71.json,10,2498,6,2,127,3,5.084067253803042,0.12009607686148918,44.72254386746236,"14,69,27,9,32,2"
official32_minus71.json,10,2498,7,10,454,327,18.174539631705365,13.090472377902321,49.7817760755322,"14,69,27,9,32,2,10"
official32_minus71.json,10,2498,8,11,497,43,19.89591673338671,1.7213771016813448,54.7608443929812,"14,69,27,9,32,2,10,11"
official32_minus71.json,10,2498,9,5,513,16,20.536429143314653,0.6405124099279423,59.50832813752561,"14,69,27,9,32,2,10,11,5"
official32_minus71.json,10,2498,10,18,706,193,28.262610088070456,7.7261809447558045,63.828271132092276,"14,69,27,9,32,2,10,11,5,18"
official32_minus71.json,10,2498,11,4,764,58,30.58446757405925,2.321857485988791,68.02351474124877,"14,69,27,9,32,2,10,11,5,18,4"
official32_minus71.json,10,2498,12,20,923,159,36.949559647718175,6.365092073658928,72.03170927229002,"14,69,27,9,32,2,10,11,5,18,4,20"
official32_minus71.json,10,2498,13,1,1095,172,43.83506805444355,6.885508406725379,75.80831923042665,"14,69,27,9,32,2,10,11,5,18,4,20,1"
official32_minus71.json,10,2498,14,19,1197,102,47.918334667734186,4.083266613290633,78.30230693863008,"14,69,27,9,32,2,10,11,5,18,4,20,1,19"
official32_minus71.json,10,2498,15,7,1238,41,49.55964771817454,1.6413130504403524,80.74285205308631,"14,69,27,9,32,2,10,11,5,18,4,20,1,19,7"
official32_minus71.json,10,2498,16,22,1301,63,52.081665332265814,2.522017614091273,83.15667587066893,"14,69,27,9,32,2,10,11,5,18,4,20,1,19,7,22"
official32_minus71.json,10,2498,17,6,1409,108,56.405124099279426,4.323458767013611,85.56159258929367,"14,69,27,9,32,2,10,11,5,18,4,20,1,19,7,22,6"
official32_minus71.json,10,2498,18,12,1547,138,61.92954363490792,5.524419535628502,87.69929633918233,"14,69,27,9,32,2,10,11,5,18,4,20,1,19,7,22,6,12"
official32_minus71.json,10,2498,19,17,1633,86,65.37229783827063,3.4427542033626897,89.73902200053443,"14,69,27,9,32,2,10,11,5,18,4,20,1,19,7,22,6,12,17"
official32_minus71.json,10,2498,20,31,1776,143,71.0968775020016,5.724579663730984,91.76093346397079,"14,69,27,9,32,2,10,11,5,18,4,20,1,19,7,22,6,12,17,31"
official32_minus71.json,10,2498,21,25,1891,115,75.70056044835869,4.603682946357086,93.43546806805023,"14,69,27,9,32,2,10,11,5,18,4,20,1,19,7,22,6,12,17,31,25"
official32_minus71.json,10,2498,22,70,1998,107,79.9839871897518,4.283426741393114,94.7002761200677,"14,69,27,9,32,2,10,11,5,18,4,20,1,19,7,22,6,12,17,31,25,70"
official32_minus71.json,10,2498,23,3,2123,125,84.98799039231385,5.00400320256205,95.92945577625368,"14,69,27,9,32,2,10,11,5,18,4,20,1,19,7,22,6,12,17,31,25,70,3"
official32_minus71.json,10,2498,24,34,2226,103,89.11128903122498,4.1232986389111295,97.15863543243965,"14,69,27,9,32,2,10,11,5,18,4,20,1,19,7,22,6,12,17,31,25,70,3,34"
official32_minus71.json,10,2498,25,15,2289,63,91.63330664531625,2.522017614091273,98.03153113031085,"14,69,27,9,32,2,10,11,5,18,4,20,1,19,7,22,6,12,17,31,25,70,3,34,15"
official32_minus71.json,10,2498,26,16,2349,60,94.03522818254604,2.401921537229784,98.61049256257238,"14,69,27,9,32,2,10,11,5,18,4,20,1,19,7,22,6,12,17,31,25,70,3,34,15,16"
official32_minus71.json,10,2498,27,37,2406,57,96.31705364291433,2.2818254603682946,99.11819720317094,"14,69,27,9,32,2,10,11,5,18,4,20,1,19,7,22,6,12,17,31,25,70,3,34,15,16,37"
official32_minus71.json,10,2498,28,23,2451,45,98.11849479583668,1.8014411529223378,99.58136634898014,"14,69,27,9,32,2,10,11,5,18,4,20,1,19,7,22,6,12,17,31,25,70,3,34,15,16,37,23"
official32_minus71.json,10,2498,29,48,2466,15,98.71897518014411,0.600480384307446,99.71497283334818,"14,69,27,9,32,2,10,11,5,18,4,20,1,19,7,22,6,12,17,31,25,70,3,34,15,16,37,23,48"
official32_minus71.json,10,2498,30,50,2481,15,99.31945556445156,0.600480384307446,99.84857931771623,"14,69,27,9,32,2,10,11,5,18,4,20,1,19,7,22,6,12,17,31,25,70,3,34,15,16,37,23,48,50"
official32_minus71.json,10,2498,31,44,2490,9,99.67974379503602,0.3602882305844676,99.92874320833704,"14,69,27,9,32,2,10,11,5,18,4,20,1,19,7,22,6,12,17,31,25,70,3,34,15,16,37,23,48,50,44"
official32_minus71.json,10,2498,32,33,2498,8,100.0,0.32025620496397117,100.0,"14,69,27,9,32,2,10,11,5,18,4,20,1,19,7,22,6,12,17,31,25,70,3,34,15,16,37,23,48,50,44,33"
official32_minus71.json,5,2498,1,14,0,0,0.0,0.0,10.786724031960663,14
official32_minus71.json,5,2498,2,69,0,0,0.0,0.0,19.954927269002255,"14,69"
official32_minus71.json,5,2498,3,9,1,1,0.040032025620496396,0.040032025620496396,27.484122106125792,"14,69,9"
official32_minus71.json,5,2498,4,27,21,20,0.8406725380304243,0.8006405124099278,34.265519360786726,"14,69,9,27"
official32_minus71.json,5,2498,5,2,24,3,0.9607686148919135,0.12009607686148918,40.71911493546405,"14,69,9,27,2"
official32_minus71.json,5,2498,6,32,129,105,5.164131305044036,4.2033626901521215,47.13173530014341,"14,69,9,27,2,32"
official32_minus71.json,5,2498,7,10,456,327,18.254603682946357,13.090472377902321,52.91948371235402,"14,69,9,27,2,32,10"
official32_minus71.json,5,2498,8,5,461,5,18.45476381104884,0.20016012810248196,58.18479819709076,"14,69,9,27,2,32,10,5"
official32_minus71.json,5,2498,9,11,527,66,21.0968775020016,2.6421136909527623,63.419381274329034,"14,69,9,27,2,32,10,5,11"
official32_minus71.json,5,2498,10,18,734,207,29.383506805444355,8.286629303442753,68.10079901659496,"14,69,9,27,2,32,10,5,11,18"
official32_minus71.json,5,2498,11,20,891,157,35.66853482786229,6.285028022417935,71.91149354640443,"14,69,9,27,2,32,10,5,11,18,20"
official32_minus71.json,5,2498,12,1,1069,178,42.794235388310646,7.125700560448359,75.60950624871953,"14,69,9,27,2,32,10,5,11,18,20,1"
official32_minus71.json,5,2498,13,4,1164,95,46.5972778222578,3.803042433947158,78.33435771358327,"14,69,9,27,2,32,10,5,11,18,20,1,4"
official32_minus71.json,5,2498,14,6,1263,99,50.56044835868695,3.963170536429143,80.77238270846138,"14,69,9,27,2,32,10,5,11,18,20,1,4,6"
official32_minus71.json,5,2498,15,19,1378,115,55.16413130504404,4.603682946357086,83.17967629584102,"14,69,9,27,2,32,10,5,11,18,20,1,4,6,19"
