run,map,n,D_m,window,N,map_n,source,f,fraction_pct_display,method,median_m,effect_pct,draws,line,min_m,max_m
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,4,12,Min-Max,534.0,11.5,8,78,498.0,576.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,8,25,WCL,638.0,7.4,8,80,573.0,903.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,8,25,ABS,583.0,5.0,8,80,570.0,758.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,8,25,DIFF,792.0,-26.9,8,80,714.0,1148.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,8,25,Min-Max,623.0,30.1,8,80,520.0,995.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,16,50,WCL,924.0,55.6,8,82,630.0,1336.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,16,50,ABS,761.0,37.0,8,82,638.0,1061.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,16,50,DIFF,984.0,-9.2,8,82,791.0,1282.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,16,50,Min-Max,941.0,96.6,8,82,858.0,1138.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,24,75,WCL,2401.0,304.4,8,84,987.0,5463.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,24,75,ABS,1420.0,155.6,8,84,867.0,2766.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,24,75,DIFF,1774.0,63.8,8,84,969.0,3423.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,24,75,Min-Max,1765.0,268.6,8,84,1117.0,3249.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,32,100,WCL,5910.0,895.3,8,86,5263.0,6064.0
