run,map,n,D_m,window,N,map_n,source,displacement_m,family,method,median_m,effect_pct,line
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,5000,iso x8 med,WCL,2809.0,373.0,298
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,5000,iso x8 med,ABS,1450.0,160.9,298
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,5000,iso x8 med,DIFF,1741.0,60.8,298
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,5000,iso x8 med,Min-Max,1651.0,244.7,298
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,10000,outward,WCL,9213.0,1451.6,299
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,10000,outward,ABS,5390.0,870.2,299
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,10000,outward,DIFF,5926.0,447.4,299
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,10000,outward,Min-Max,8268.0,1626.6,299
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,10000,iso x8 med,WCL,5631.0,848.4,300
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,10000,iso x8 med,ABS,2728.0,391.0,300
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,10000,iso x8 med,DIFF,3034.0,180.2,300
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,10000,iso x8 med,Min-Max,3019.0,530.3,300
